Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61264657,1.1,l,1494412603.51,2017/05/10 10:36:43,2017/05/10 03:36:43 PDT,"5.6 km from Bremerton, WA",47.5882,-122.5625,19.5,12.1
61264647,1.5,l,1494410742.73,2017/05/10 10:05:42,2017/05/10 03:05:42 PDT,"5.4 km from Bremerton, WA",47.5943,-122.5705,21.3,13.2
61264642,1.0,l,1494410154,2017/05/10 09:55:54,2017/05/10 02:55:54 PDT,"7.1 km from Bremerton, WA",47.6013,-122.5508,19.8,12.2
61264627,1.4,l,1494405648.65,2017/05/10 08:40:48,2017/05/10 01:40:48 PDT,"6.8 km from Bremerton, WA",47.5993,-122.5528,19.7,12.2
61264622,1.6,l,1494404493.62,2017/05/10 08:21:33,2017/05/10 01:21:33 PDT,"5.3 km from Bremerton, WA",47.5923,-122.5707,22.0,13.6
61264617,0.9,l,1494404406.4,2017/05/10 08:20:06,2017/05/10 01:20:06 PDT,"7.9 km from Bremerton, WA",47.5968,-122.5342,20.4,12.6
61264612,3.4,l,1494404072.09,2017/05/10 08:14:32,2017/05/10 01:14:32 PDT,"3.7 km from Bremerton, WA",47.5792,-122.5840,24.5,15.2
61264257,1.9,l,1494366283.51,2017/05/09 21:44:43,2017/05/09 14:44:43 PDT,"2.9 km from Bremerton, WA",47.5465,-122.6067,50.7,31.4
61264157,1.1,l,1494352193.23,2017/05/09 17:49:53,2017/05/09 10:49:53 PDT,"5.7 km from Bremerton, WA",47.5933,-122.5650,19.8,12.3
61264107,1.7,l,1494344939.26,2017/05/09 15:48:59,2017/05/09 08:48:59 PDT,"5.5 km from Bremerton, WA",47.5933,-122.5685,22.3,13.8
61264052,1.1,l,1494324957.64,2017/05/09 10:15:57,2017/05/09 03:15:57 PDT,"5.3 km from Bremerton, WA",47.5827,-122.5640,20.9,13.0
61263877,1.5,l,1494272893.86,2017/05/08 19:48:13,2017/05/08 12:48:13 PDT,"5.1 km from Bremerton, WA",47.58,-122.5657,21.8,13.5
61280591,1.3,l,1494255617.48,2017/05/08 15:00:17,2017/05/08 08:00:17 PDT,"6.4 km from Bremerton, WA",47.5937,-122.5555,19.0,11.8
61280521,1.2,l,1494199008.48,2017/05/07 23:16:48,2017/05/07 16:16:48 PDT,"8.8 km from Bremerton, WA",47.5882,-122.5180,19.5,12.1
61280451,1.6,l,1494184058.07,2017/05/07 19:07:38,2017/05/07 12:07:38 PDT,"5.2 km from Bremerton, WA",47.5827,-122.5645,21.3,13.2
61280026,0.4,d,1494042671.98,2017/05/06 03:51:11,2017/05/05 20:51:11 PDT,"7.7 km from Bremerton, WA",47.585,-122.5313,20.1,12.5
60134408,0.4,d,1493956993.52,2017/05/05 04:03:13,2017/05/04 21:03:13 PDT,"8.0 km from Bremerton, WA",47.585,-122.5273,19.7,12.2
61278991,2.3,l,1493954388.32,2017/05/05 03:19:48,2017/05/04 20:19:48 PDT,"2.7 km from Bremerton, WA",47.5747,-122.5965,25.3,15.7
61278576,1.2,l,1493930623.37,2017/05/04 20:43:43,2017/05/04 13:43:43 PDT,"6.8 km from Bremerton, WA",47.5283,-122.5593,22.0,13.7
61278541,2.1,l,1493924795.85,2017/05/04 19:06:35,2017/05/04 12:06:35 PDT,"3.8 km from Bremerton, WA",47.5802,-122.5837,24.6,15.2
61278496,1.8,l,1493911147.07,2017/05/04 15:19:07,2017/05/04 08:19:07 PDT,"5.1 km from Bremerton, WA",47.5903,-122.5713,24.3,15.1
60134308,0.4,d,1493905549.93,2017/05/04 13:45:49,2017/05/04 06:45:49 PDT,"7.3 km from Bremerton, WA",47.5835,-122.5365,21.6,13.4
61278371,1.8,l,1493903836.12,2017/05/04 13:17:16,2017/05/04 06:17:16 PDT,"2.6 km from Bremerton, WA",47.5737,-122.5972,25.1,15.6
61278361,1.0,l,1493900247.02,2017/05/04 12:17:27,2017/05/04 05:17:27 PDT,"9.7 km from Bremerton, WA",47.596,-122.5080,20.1,12.4
61278286,1.3,l,1493898982.68,2017/05/04 11:56:22,2017/05/04 04:56:22 PDT,"3.9 km from Bremerton, WA",47.5847,-122.5850,23.1,14.3
61278281,2.5,l,1493896851.99,2017/05/04 11:20:51,2017/05/04 04:20:51 PDT,"3.1 km from Bremerton, WA",47.5763,-122.5917,24.9,15.4
61278211,2.3,l,1493883826.44,2017/05/04 07:43:46,2017/05/04 00:43:46 PDT,"2.5 km from Bremerton, WA",47.5727,-122.5982,25.3,15.7
61278206,1.9,l,1493883773.24,2017/05/04 07:42:53,2017/05/04 00:42:53 PDT,"2.2 km from Bremerton, WA",47.5737,-122.6027,26.1,16.2
60134208,0.7,l,1493883618.35,2017/05/04 07:40:18,2017/05/04 00:40:18 PDT,"1.7 km from Bremerton, WA",47.5713,-122.6088,26.9,16.7
61278176,1.9,l,1493879556.6,2017/05/04 06:32:36,2017/05/03 23:32:36 PDT,"3.2 km from Bremerton, WA",47.5773,-122.5900,24.7,15.3
61278161,2.0,l,1493873948.11,2017/05/04 04:59:08,2017/05/03 21:59:08 PDT,"3.7 km from Bremerton, WA",47.5783,-122.5833,22.3,13.8
61278111,0.9,l,1493871602.46,2017/05/04 04:20:02,2017/05/03 21:20:02 PDT,"6.7 km from Bremerton, WA",47.5947,-122.5518,21.4,13.2
61278036,1.6,l,1493850782.86,2017/05/03 22:33:02,2017/05/03 15:33:02 PDT,"5.0 km from Bremerton, WA",47.5843,-122.5688,22.7,14.1
61278026,2.3,l,1493849143.57,2017/05/03 22:05:43,2017/05/03 15:05:43 PDT,"4.6 km from Bremerton, WA",47.581,-122.5722,22.2,13.8
61278016,1.6,l,1493848697.12,2017/05/03 21:58:17,2017/05/03 14:58:17 PDT,"4.4 km from Bremerton, WA",47.5805,-122.5758,23.2,14.4
61278006,1.5,l,1493847798.56,2017/05/03 21:43:18,2017/05/03 14:43:18 PDT,"3.5 km from Bremerton, WA",47.5737,-122.5840,25.8,16.0
61277981,1.2,l,1493843727.83,2017/05/03 20:35:27,2017/05/03 13:35:27 PDT,"4.3 km from Bremerton, WA",47.5825,-122.5780,23.9,14.8
61277966,1.5,l,1493841755.94,2017/05/03 20:02:35,2017/05/03 13:02:35 PDT,"4.4 km from Bremerton, WA",47.5863,-122.5795,23.2,14.4
61277946,1.5,l,1493841260,2017/05/03 19:54:20,2017/05/03 12:54:20 PDT,"5.2 km from Bremerton, WA",47.5823,-122.5647,21.3,13.2
61277941,2.0,l,1493839882.41,2017/05/03 19:31:22,2017/05/03 12:31:22 PDT,"3.2 km from Bremerton, WA",47.5795,-122.5918,25.0,15.5
61277936,1.5,l,1493839725.38,2017/05/03 19:28:45,2017/05/03 12:28:45 PDT,"3.5 km from Bremerton, WA",47.5843,-122.5913,24.7,15.3
61277931,3.3,l,1493839236.6,2017/05/03 19:20:36,2017/05/03 12:20:36 PDT,"2.9 km from Bremerton, WA",47.5733,-122.5932,25.7,15.9
61257761,1.2,l,1489600645.86,2017/03/15 17:57:25,2017/03/15 10:57:25 PDT,"11.5 km from Bremerton, WA",47.6303,-122.5095,6.1,3.8
61230447,1.0,l,1485363820.83,2017/01/25 17:03:40,2017/01/25 09:03:40 PST,"3.2 km from Bremerton, WA",47.5413,-122.6488,21.2,13.1
60132008,0.2,d,1485353037.32,2017/01/25 14:03:57,2017/01/25 06:03:57 PST,"10.1 km from Bremerton, WA",47.5715,-122.4955,8.3,5.2
61230427,0.9,l,1485353000.62,2017/01/25 14:03:20,2017/01/25 06:03:20 PST,"4.3 km from Bremerton, WA",47.5277,-122.6317,22.7,14.0
